song_title,album_release_date_iso,play_date_iso,years_since_release
Darlington County,1984-01-01,2024-11-13,40.87
Letter to You,2020-10-23,2024-11-13,4.06
Atlantic City,1982-01-01,2024-11-13,42.87
Youngstown,1995-01-01,2024-11-13,29.87
Reason to Believe,1982-01-01,2024-11-13,42.87
Long Walk Home,2007-01-01,2024-11-13,17.87
The E Street Shuffle,1973-01-01,2024-11-13,51.87
Nightshift,2022-11-11,2024-11-13,2.01
Racing in the Street,1978-01-01,2024-11-13,46.87
Last Man Standing,2020-10-23,2024-11-13,4.06
Backstreets,1975-01-01,2024-11-13,49.87
Because the Night,2010-01-01,2024-11-13,14.87
She’s the One,1975-01-01,2024-11-13,49.87
Wrecking Ball,2012-01-01,2024-11-13,12.87
The Rising,2002-01-01,2024-11-13,22.87
Badlands,1978-01-01,2024-11-13,46.87
Thunder Road,1975-01-01,2024-11-13,49.87
Born to Run,1975-01-01,2024-11-13,49.87
Bobby Jean,1984-01-01,2024-11-13,40.87
Dancing in the Dark,1984-01-01,2024-11-13,40.87
Tenth Avenue Freeze‐Out,1975-01-01,2024-11-13,49.87
I’ll See You in My Dreams,2020-10-23,2024-11-13,4.06
The Power of Prayer,2020-10-23,2024-11-11,4.05
Land of Hope and Dreams,2012-01-01,2024-11-11,12.86
Dancing in the Dark,1984-01-01,2024-11-11,40.86
Long Walk Home,2007-01-01,2024-11-11,17.86
Lonesome Day,2002-01-01,2024-11-09,22.86
No Surrender,1984-01-01,2024-11-09,40.86
Prove It All Night,1978-01-01,2024-11-09,46.86
Does This Bus Stop at 82nd Street?,1973-01-01,2024-11-09,51.86
Letter to You,2020-10-23,2024-11-09,4.05
The Promised Land,1978-01-01,2024-11-09,46.86
Hungry Heart,1980-01-01,2024-11-09,44.86
Waitin’ on a Sunny Day,2002-01-01,2024-11-09,22.86
Darkness on the Edge of Town,1978-01-01,2024-11-09,46.86
Youngstown,1995-01-01,2024-11-09,29.86
Long Walk Home,2007-01-01,2024-11-09,17.86
